price,vehicleType,gearbox,powerPS,kilometer,fuelType,notRepairedDamage
10200,limousine,manual,179,60000,gas,no
7499,coupe,manual,220,150000,gas,no
9199,suv,automatic,152,150000,diesel,no
5499,bus,manual,101,60000,gas,no
13500,kombi,manual,160,100000,diesel,no
6990,wagon,manual,140,150000,diesel,no
5999,wagon,manual,116,90000,gas,no
11000,suv,automatic,150,100000,diesel,no
7950,limousine,manual,150,125000,gas,no
6990,wagon,manual,82,80000,gas,no
10900,bus,manual,105,150000,diesel,no
16950,limousine,manual,136,125000,diesel,no
11400,kombi,manual,120,125000,diesel,no
79900,coupe,manual,200,100000,gas,no
6990,wagon,manual,80,50000,diesel,no
6900,bus,manual,102,150000,diesel,no
45900,coupe,manual,355,80000,gas,no
5999,wagon,manual,69,40000,gas,no
8900,suv,automatic,260,80000,lpg,no
17900,bus,manual,136,70000,diesel,no
11000,kombi,automatic,225,150000,gas,no
5500,kombi,automatic,211,150000,gas,yes
30900,bus,automatic,150,5000,diesel,no
16200,kombi,automatic,190,125000,gas,no
15900,coupe,manual,170,125000,gas,no
5300,limousine,automatic,230,150000,gas,no
6870,limousine,manual,116,125000,gas,no
15500,suv,automatic,224,150000,diesel,no
8490,limousine,manual,163,150000,diesel,no
14950,bus,manual,140,150000,diesel,no
10500,kombi,manual,177,125000,diesel,no
15000,wagon,manual,110,20000,diesel,no
5450,cabrio,manual,116,125000,gas,no
9499,cabrio,manual,163,150000,gas,no
20000,limousine,automatic,450,150000,gas,no
8990,kombi,manual,122,80000,diesel,no
7950,bus,manual,100,60000,gas,no
28900,coupe,automatic,320,125000,gas,no
18600,limousine,manual,110,20000,gas,no
19999,suv,automatic,190,80000,diesel,no
16500,kombi,automatic,143,125000,diesel,no
57500,coupe,automatic,457,30000,gas,no
5800,bus,manual,110,70000,diesel,no
7990,wagon,manual,120,50000,gas,no
5750,wagon,manual,116,150000,gas,no
16900,cabrio,automatic,231,80000,gas,no
6450,limousine,manual,143,150000,diesel,no
22900,suv,manual,218,50000,gas,no
12499,cabrio,manual,231,125000,gas,no
7960,cabrio,manual,140,70000,gas,no
6250,coupe,manual,116,125000,lpg,no
7790,kombi,manual,140,150000,diesel,no
11500,wagon,automatic,150,70000,gas,no
9499,cabrio,manual,163,150000,gas,no
26500,cabrio,manual,150,10000,gas,no
8999,bus,manual,95,150000,diesel,no
21500,suv,automatic,426,80000,gas,no
5500,bus,manual,105,70000,gas,no
23990,limousine,automatic,271,100000,gas,no
8000,limousine,manual,120,80000,gas,no
18900,cabrio,manual,150,60000,gas,no
12500,bus,manual,102,70000,diesel,no
6990,wagon,manual,120,150000,diesel,no
6450,kombi,manual,140,125000,gas,no
5999,kombi,manual,231,150000,lpg,no
16950,kombi,manual,105,60000,diesel,no
6500,wagon,manual,155,125000,gas,no
5500,kombi,manual,131,150000,diesel,no
8499,limousine,manual,265,150000,gas,no
27150,coupe,automatic,239,150000,diesel,no
8600,limousine,manual,110,150000,diesel,no
36999,limousine,automatic,299,90000,diesel,no
10800,kombi,automatic,156,30000,gas,no
5500,limousine,automatic,150,150000,diesel,no
5200,cabrio,manual,120,150000,gas,no
5470,wagon,manual,60,100000,gas,no
15500,limousine,manual,190,100000,gas,no
69850,cabrio,manual,385,30000,gas,no
11600,kombi,manual,163,150000,diesel,no
54900,kombi,automatic,367,20000,gas,no
5999,limousine,manual,90,100000,diesel,no
7500,kombi,automatic,177,150000,diesel,no
5300,limousine,manual,163,150000,gas,no
8999,limousine,automatic,224,150000,diesel,no
13999,suv,automatic,156,125000,diesel,no
24000,limousine,automatic,170,60000,diesel,no
7900,kombi,manual,170,150000,diesel,no
18900,limousine,manual,211,20000,gas,no
6200,kombi,manual,105,150000,diesel,no
6800,limousine,manual,177,150000,diesel,no
6100,coupe,manual,110,125000,gas,no
7700,wagon,manual,105,150000,diesel,no
20999,limousine,manual,235,60000,gas,no
15500,cabrio,automatic,163,60000,gas,no
18499,kombi,automatic,231,150000,diesel,no
25900,limousine,automatic,245,150000,diesel,no
8000,kombi,manual,143,150000,diesel,no
6900,bus,manual,105,150000,diesel,no
5500,limousine,manual,180,125000,gas,no
6299,limousine,manual,109,150000,diesel,no
19999,coupe,manual,224,80000,gas,no
11500,limousine,manual,200,150000,gas,no
16900,limousine,automatic,272,150000,gas,no
22400,bus,manual,150,50000,gas,no
7550,wagon,manual,84,30000,gas,no
19900,coupe,automatic,224,125000,diesel,no
9500,coupe,automatic,170,125000,gas,no
13999,kombi,automatic,160,100000,diesel,no
18990,kombi,manual,105,20000,diesel,no
15600,limousine,manual,286,150000,gas,no
8000,limousine,manual,90,30000,gas,no
17000,limousine,automatic,143,50000,gas,no
14700,suv,manual,135,60000,gas,no
9900,suv,manual,90,100000,diesel,no
12500,limousine,manual,200,70000,gas,no
7500,bus,manual,140,150000,diesel,no
10000,kombi,manual,140,125000,diesel,no
14900,kombi,manual,140,90000,diesel,no
27300,limousine,manual,177,30000,diesel,no
5399,wagon,manual,68,125000,diesel,no
13299,wagon,automatic,200,40000,gas,no
19400,kombi,manual,150,70000,diesel,no
69997,cabrio,automatic,480,90000,gas,no
7500,limousine,manual,101,100000,gas,no
7500,kombi,automatic,204,150000,diesel,no
13200,kombi,manual,184,150000,diesel,no
7700,bus,manual,75,40000,gas,no
7700,kombi,manual,140,125000,gas,no
9500,limousine,manual,116,150000,diesel,no
10999,wagon,manual,90,20000,lpg,no
7500,coupe,manual,200,150000,diesel,no
8699,cabrio,manual,136,30000,diesel,no
20900,limousine,manual,143,80000,diesel,no
34900,limousine,automatic,306,125000,diesel,no
7450,cabrio,automatic,163,150000,gas,no
18790,cabrio,manual,122,50000,gas,no
13500,coupe,manual,143,125000,diesel,no
8990,wagon,manual,86,125000,gas,no
6950,limousine,manual,150,150000,diesel,no
7300,limousine,manual,101,50000,gas,no
16990,wagon,manual,86,10000,gas,no
16999,kombi,automatic,204,60000,diesel,no
8200,kombi,automatic,177,150000,diesel,no
16800,bus,automatic,204,150000,diesel,no
6900,limousine,manual,80,150000,gas,no
13900,wagon,manual,120,70000,gas,no
13000,limousine,automatic,231,150000,gas,no
20800,kombi,manual,381,150000,gas,no
6790,limousine,manual,116,150000,diesel,no
10300,bus,automatic,136,60000,diesel,no
9200,suv,automatic,450,150000,gas,no
6500,bus,automatic,150,150000,diesel,no
6200,kombi,manual,105,150000,diesel,no
15000,bus,manual,110,80000,diesel,no
8500,limousine,automatic,170,125000,diesel,no
9800,suv,manual,129,80000,diesel,no
7950,limousine,manual,140,150000,diesel,no
18500,limousine,automatic,170,150000,diesel,no
7900,wagon,manual,90,50000,gas,no
7490,wagon,automatic,71,30000,gas,no
8400,bus,automatic,140,150000,diesel,no
10690,limousine,manual,105,70000,gas,no
9500,wagon,manual,75,70000,gas,no
15999,wagon,manual,211,125000,gas,no
7000,limousine,manual,110,125000,diesel,no
5990,wagon,manual,120,125000,gas,no
11900,limousine,manual,143,70000,diesel,no
20700,bus,manual,109,30000,diesel,no
8400,wagon,manual,201,70000,gas,no
18990,limousine,automatic,204,150000,diesel,no
9000,kombi,manual,105,150000,diesel,no
7999,limousine,manual,105,100000,diesel,no
25990,coupe,manual,211,20000,gas,no
11900,cabrio,automatic,163,100000,gas,no
9300,limousine,automatic,218,150000,diesel,no
18399,bus,automatic,109,70000,diesel,no
13200,suv,automatic,239,125000,diesel,no
5700,limousine,automatic,170,150000,gas,no
17500,limousine,automatic,211,100000,gas,no
7400,limousine,manual,102,125000,gas,no
20250,suv,automatic,184,30000,diesel,no
12900,kombi,manual,170,90000,diesel,no
28500,bus,manual,140,100000,diesel,no
12900,suv,manual,122,150000,diesel,no
16600,limousine,manual,184,150000,diesel,no
11750,limousine,manual,140,40000,gas,no
7800,cabrio,manual,224,125000,gas,no
25000,coupe,automatic,239,125000,diesel,no
8000,wagon,manual,80,40000,gas,no
17990,limousine,automatic,122,60000,gas,no
9500,limousine,automatic,122,150000,diesel,no
5499,limousine,automatic,313,150000,diesel,no
5390,wagon,manual,82,50000,gas,no
12590,limousine,manual,140,100000,diesel,no
9300,kombi,manual,105,125000,diesel,no
17000,suv,automatic,313,150000,lpg,no
5100,cabrio,manual,125,90000,gas,no
5999,limousine,automatic,200,150000,diesel,no
8000,bus,manual,88,150000,diesel,no
6400,cabrio,manual,163,150000,diesel,no
9000,limousine,manual,170,100000,diesel,no
12999,cabrio,manual,105,50000,gas,no
5500,coupe,manual,108,150000,diesel,no
11990,limousine,manual,143,60000,gas,no
11999,kombi,automatic,476,150000,gas,no
5800,wagon,manual,80,100000,gas,no
20600,limousine,automatic,170,70000,diesel,no
11968,cabrio,manual,239,150000,gas,no
12899,bus,manual,116,125000,lpg,no
5688,suv,manual,141,60000,diesel,no
43900,limousine,automatic,245,40000,diesel,no
12999,kombi,automatic,211,125000,gas,no
5750,bus,manual,84,150000,diesel,no
18250,suv,manual,136,60000,diesel,no
8400,suv,manual,119,150000,diesel,no
5600,limousine,automatic,131,150000,gas,no
7300,cabrio,manual,224,100000,gas,no
10999,cabrio,automatic,193,150000,gas,no
7500,bus,automatic,136,150000,diesel,no
9300,bus,automatic,140,150000,diesel,no
8900,bus,manual,95,90000,diesel,no
10400,cabrio,automatic,163,125000,gas,no
5900,bus,manual,78,150000,diesel,no
13900,coupe,manual,170,100000,diesel,no
5300,limousine,manual,80,80000,gas,no
9999,bus,manual,122,150000,gas,no
19444,limousine,automatic,207,150000,diesel,no
7200,kombi,manual,105,125000,diesel,no
11599,cabrio,manual,204,125000,gas,no
14999,bus,manual,131,150000,diesel,no
5200,other,manual,88,150000,diesel,no
5499,wagon,manual,73,70000,gas,no
14550,suv,manual,150,60000,gas,no
15490,limousine,automatic,140,125000,diesel,no
5690,wagon,manual,68,20000,gas,no
10000,kombi,manual,143,150000,diesel,no
6300,wagon,manual,116,100000,gas,no
8700,suv,manual,136,60000,diesel,no
10500,suv,automatic,268,150000,gas,no
16500,coupe,manual,120,5000,gas,no
7700,limousine,manual,220,60000,gas,no
30999,suv,automatic,177,50000,diesel,no
5000,kombi,manual,131,150000,diesel,no
5199,bus,manual,54,90000,gas,no
5700,wagon,manual,75,20000,gas,no
12500,suv,manual,116,125000,diesel,no
34940,limousine,manual,150,20000,diesel,no
10000,limousine,manual,177,150000,diesel,no
5300,wagon,manual,86,80000,gas,no
7490,kombi,manual,110,90000,diesel,no
5950,wagon,manual,95,70000,gas,no
5880,cabrio,manual,136,150000,diesel,no
9500,wagon,manual,92,40000,diesel,no
14000,limousine,manual,125,30000,gas,no
10950,limousine,manual,340,150000,gas,no
13900,suv,manual,116,80000,gas,no
12900,suv,manual,105,20000,gas,no
9999,limousine,automatic,218,125000,diesel,no
14444,cabrio,manual,170,60000,gas,no
9999,limousine,automatic,184,150000,diesel,yes
8699,kombi,manual,125,90000,gas,no
16000,bus,automatic,140,100000,diesel,no
15000,kombi,manual,260,100000,gas,no
8000,limousine,manual,170,125000,diesel,no
29900,bus,automatic,265,100000,diesel,no
7200,bus,manual,145,150000,diesel,no
11499,limousine,manual,99,40000,gas,no
21500,wagon,manual,211,20000,gas,no
7999,cabrio,manual,75,60000,gas,no
23900,cabrio,manual,101,30000,gas,no
11500,wagon,manual,201,80000,gas,no
7490,wagon,manual,116,90000,gas,no
7250,bus,manual,151,150000,diesel,no
6999,bus,manual,116,150000,diesel,no
23990,kombi,automatic,245,150000,diesel,no
8400,suv,automatic,212,150000,diesel,no
16400,kombi,manual,122,40000,gas,no
6750,limousine,manual,125,125000,gas,no
17900,cabrio,manual,122,40000,gas,no
28500,coupe,automatic,298,60000,gas,no
6900,wagon,manual,80,60000,gas,no
6700,limousine,manual,116,150000,gas,no
10500,suv,manual,155,100000,diesel,no
20850,limousine,manual,150,40000,diesel,no
30300,kombi,manual,204,90000,diesel,no
8600,kombi,manual,105,150000,diesel,no
13900,bus,manual,107,20000,diesel,no
9400,kombi,manual,140,150000,diesel,no
6500,suv,manual,136,60000,diesel,no
8987,kombi,manual,86,90000,gas,no
7250,coupe,automatic,197,150000,gas,no
9950,bus,automatic,92,90000,diesel,no
35990,suv,automatic,179,10000,diesel,no
7300,kombi,manual,140,150000,diesel,no
19500,cabrio,automatic,218,90000,gas,no
7150,kombi,automatic,140,150000,diesel,no
23000,limousine,manual,143,100000,diesel,no
32000,coupe,automatic,306,60000,gas,no
22500,wagon,automatic,185,50000,gas,no
7250,kombi,manual,170,150000,diesel,no
15490,coupe,manual,231,150000,diesel,no
5200,wagon,manual,69,100000,gas,no
23760,suv,automatic,179,50000,gas,no
6800,suv,automatic,163,150000,diesel,no
7950,wagon,manual,87,40000,gas,no
5990,suv,manual,150,125000,diesel,no
5250,wagon,manual,54,80000,gas,no
9200,kombi,manual,150,100000,diesel,no
10999,limousine,manual,140,70000,gas,no
5300,limousine,manual,116,90000,gas,no
8190,kombi,automatic,177,150000,diesel,no
36400,limousine,automatic,150,30000,diesel,no
14000,kombi,automatic,179,150000,diesel,no
9600,kombi,manual,129,125000,gas,no
11111,suv,manual,140,150000,diesel,no
15550,cabrio,automatic,306,5000,gas,no
20900,cabrio,automatic,326,40000,gas,no
8800,limousine,manual,95,80000,gas,no
5890,wagon,manual,82,125000,gas,no
5500,limousine,automatic,193,150000,diesel,no
5200,cabrio,automatic,71,100000,gas,no
18500,kombi,manual,140,80000,diesel,no
8450,kombi,manual,143,150000,diesel,no
13850,coupe,manual,140,150000,diesel,no
11750,limousine,automatic,122,40000,gas,no
6300,limousine,automatic,220,150000,gas,no
11850,suv,automatic,185,150000,diesel,no
7250,limousine,manual,122,150000,gas,no
6200,coupe,manual,90,60000,gas,no
10990,limousine,automatic,260,150000,diesel,no
14900,kombi,automatic,450,150000,gas,no
10999,kombi,automatic,435,150000,gas,no
15000,limousine,manual,86,10000,gas,no
9900,limousine,manual,143,150000,diesel,no
7299,kombi,automatic,170,125000,diesel,no
10999,kombi,automatic,140,150000,diesel,no
5500,kombi,manual,271,150000,gas,no
22300,wagon,manual,220,40000,gas,no
7200,wagon,automatic,54,50000,diesel,no
12500,wagon,manual,122,30000,gas,no
6800,other,manual,179,150000,gas,no
15300,limousine,manual,143,100000,diesel,no
7000,limousine,manual,116,125000,gas,yes
6499,bus,manual,136,150000,diesel,no
7350,bus,manual,102,150000,diesel,no
7499,wagon,manual,120,80000,gas,no
8350,limousine,manual,190,150000,diesel,no
5600,limousine,manual,140,150000,diesel,no
5990,wagon,manual,60,20000,gas,no
13990,kombi,manual,163,150000,diesel,no
25990,limousine,automatic,184,80000,diesel,no
5850,cabrio,automatic,192,150000,gas,no
16000,suv,manual,131,80000,diesel,no
8700,cabrio,manual,163,150000,gas,no
7450,kombi,automatic,150,150000,diesel,no
7500,coupe,manual,179,150000,lpg,no
13900,wagon,manual,160,40000,gas,no
6700,kombi,automatic,170,150000,diesel,no
6600,coupe,automatic,218,150000,gas,no
18000,limousine,automatic,232,150000,diesel,no
32990,cabrio,automatic,224,50000,gas,no
5800,limousine,manual,102,100000,gas,no
6400,limousine,manual,116,150000,gas,no
6790,cabrio,manual,140,125000,gas,no
8999,wagon,automatic,101,70000,gas,no
9599,cabrio,manual,200,150000,gas,no
29500,kombi,automatic,325,30000,gas,no
10900,kombi,automatic,143,150000,diesel,no
6499,bus,manual,103,125000,gas,no
5600,limousine,automatic,116,150000,diesel,no
21900,kombi,manual,136,125000,diesel,no
15500,coupe,manual,110,100000,gas,no
10800,limousine,manual,140,80000,diesel,no
27900,suv,automatic,140,40000,diesel,no
13500,kombi,automatic,231,150000,diesel,no
8600,limousine,manual,140,80000,diesel,no
9000,limousine,automatic,163,150000,diesel,no
5500,kombi,manual,131,150000,diesel,no
20500,limousine,automatic,239,150000,diesel,no
9300,cabrio,manual,150,125000,gas,no
17300,kombi,automatic,184,150000,diesel,no
8990,limousine,automatic,232,150000,diesel,no
6800,limousine,manual,80,125000,gas,no
14000,bus,automatic,140,70000,gas,no
6700,wagon,manual,95,90000,diesel,no
16200,suv,automatic,224,150000,diesel,no
9900,cabrio,manual,192,125000,gas,no
6999,wagon,manual,68,70000,diesel,no
25900,bus,manual,140,150000,diesel,no
8500,limousine,automatic,219,150000,diesel,no
22500,suv,automatic,170,125000,diesel,no
39900,coupe,automatic,360,30000,gas,no
11500,limousine,automatic,218,80000,gas,no
8499,limousine,manual,143,125000,gas,no
12999,cabrio,manual,232,150000,diesel,no
7800,limousine,manual,220,5000,gas,no
8750,cabrio,manual,125,150000,gas,no
16850,bus,automatic,150,150000,diesel,no
5995,coupe,manual,150,150000,diesel,no
12900,bus,automatic,140,125000,diesel,no
31990,suv,automatic,184,70000,diesel,no
12000,limousine,manual,72,90000,diesel,no
20200,cabrio,manual,105,30000,gas,no
7900,kombi,manual,150,150000,diesel,no
29900,cabrio,manual,156,30000,gas,no
10100,suv,automatic,239,100000,diesel,no
6900,cabrio,manual,150,150000,gas,no
6960,kombi,manual,160,90000,gas,no
24990,limousine,manual,150,20000,diesel,no
24000,coupe,manual,211,70000,gas,no
39800,bus,manual,140,50000,diesel,no
25900,limousine,automatic,150,30000,diesel,no
5800,wagon,manual,77,20000,gas,no
15500,suv,manual,110,50000,diesel,no
7500,bus,manual,88,150000,diesel,no
7249,limousine,automatic,109,150000,diesel,no
11700,limousine,manual,136,125000,diesel,no
5850,kombi,manual,143,150000,diesel,no
5800,bus,manual,105,150000,diesel,no
5900,cabrio,manual,150,150000,gas,no
14000,bus,manual,140,100000,diesel,no
15500,kombi,manual,165,60000,diesel,no
16995,suv,automatic,272,150000,diesel,no
5500,wagon,manual,90,125000,gas,no
5990,suv,automatic,224,150000,diesel,yes
12200,kombi,manual,136,150000,diesel,no
6999,limousine,manual,163,150000,diesel,no
5990,wagon,manual,68,30000,gas,no
6900,kombi,manual,140,150000,diesel,no
8999,limousine,manual,122,125000,gas,no
10100,suv,automatic,239,100000,diesel,no
21590,suv,manual,175,80000,diesel,no
6400,kombi,manual,163,150000,diesel,no
5000,wagon,manual,131,150000,diesel,no
6900,bus,manual,109,90000,cng,no
10999,bus,manual,120,50000,gas,no
6500,suv,manual,136,125000,gas,no
5200,limousine,automatic,286,150000,lpg,no
33499,kombi,automatic,313,125000,diesel,no
8850,suv,automatic,163,150000,diesel,no
6200,suv,automatic,184,150000,diesel,no
28600,kombi,automatic,181,60000,diesel,no
12800,wagon,manual,90,40000,diesel,no
5900,wagon,manual,109,100000,gas,no
14500,limousine,manual,75,30000,diesel,no
8000,kombi,manual,140,150000,diesel,no
11000,wagon,manual,105,60000,gas,no
17750,limousine,manual,105,10000,gas,no
15500,wagon,manual,105,60000,diesel,no
5999,bus,manual,101,125000,diesel,no
7700,suv,manual,113,125000,diesel,no
9300,coupe,manual,179,80000,gas,no
5999,kombi,automatic,179,150000,diesel,no
21000,limousine,automatic,231,100000,diesel,no
5900,kombi,manual,140,150000,diesel,no
11500,wagon,manual,72,70000,gas,no
20900,suv,automatic,140,20000,gas,no
7500,wagon,automatic,84,70000,gas,no
35500,limousine,automatic,300,20000,gas,no
14799,bus,automatic,163,90000,diesel,no
30800,limousine,automatic,184,20000,diesel,no
19900,limousine,automatic,239,150000,diesel,no
36399,coupe,automatic,230,20000,gas,no
10400,kombi,automatic,190,150000,diesel,no
5100,limousine,manual,116,150000,gas,no
19750,kombi,automatic,204,40000,diesel,no
6500,coupe,automatic,231,80000,gas,no
14500,limousine,automatic,143,150000,diesel,no
6950,limousine,manual,231,150000,gas,no
8500,bus,manual,140,150000,diesel,no
19999,cabrio,automatic,245,150000,gas,no
10490,bus,automatic,105,90000,diesel,no
11500,wagon,manual,72,70000,gas,no
7200,limousine,manual,131,150000,diesel,no
14200,coupe,automatic,272,150000,gas,no
11000,kombi,manual,140,60000,gas,no
11490,cabrio,manual,143,70000,gas,no
18750,suv,automatic,224,150000,diesel,no
12700,limousine,automatic,177,150000,diesel,no
8500,coupe,automatic,150,150000,gas,no
16950,limousine,manual,211,60000,gas,no
23900,cabrio,automatic,222,150000,gas,no
18800,suv,automatic,349,150000,lpg,no
6900,wagon,manual,69,30000,gas,no
6950,wagon,manual,90,150000,diesel,no
12900,kombi,manual,170,150000,diesel,no
14500,limousine,automatic,136,125000,diesel,no
13500,kombi,manual,177,150000,diesel,no
12899,bus,manual,116,125000,lpg,no
6000,cabrio,automatic,71,90000,gas,no
6790,limousine,automatic,140,100000,diesel,no
17300,kombi,automatic,170,100000,diesel,no
9450,limousine,manual,116,125000,diesel,no
9999,limousine,automatic,140,150000,diesel,no
17900,kombi,automatic,184,125000,diesel,no
6700,wagon,manual,116,70000,gas,no
5500,limousine,manual,105,150000,diesel,no
5999,bus,manual,145,125000,lpg,no
29900,suv,automatic,239,125000,diesel,no
59500,coupe,automatic,313,60000,diesel,no
12990,kombi,manual,140,125000,diesel,no
